,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Preco,n_vendidos_categoria
1029,Kit 5 Conjuntos Femininos Roupas Infantil Menina Atacado,4.3,119,0.14,N.MODA,N/A,Meninas,N/A,"Tecido é bem fininho, parece um pijama a modelagem é pequena e depois que lava encolhe. O tecido desgasta demais, serve como pijama somente e encolhe muito muito mesmo e a costura sai. Faz 3 meses que estou usando o produto tenho propriedade pra falar. Quando chega a gente acha lindo mas depois de usar a gente vê que a qualidade é bem ruim. Minha filha tem 8 anos pedi tamanho 14, já não serve mais!.",Muito bom o produto de acordo com o que eu imaginei e como está na foto.,"Gostaria que viesse como no mostruário, veio somente duas.",139.54,1000
1030,Calça Brim Azul Royal Ou Cinza Pronta Entrega Mecânico Epis.,4.7,15,0.0,WORLD SHOP PREMIUM,BRIM 100% ALGODÃO DE ALTA RESISTÊNCIA,Masculino,Outono/Inverno,Muita boa.,A costura é bem feita e não rasga fácil.,Ótima qualidade.,53.9,100
1031,Collant Colan Body Ballet Balé Uniforme - Meia Manga Curta,4.4,25,0.1,Stelariss Figurinos,N/A,N/A,N/A,"O pano é bom, mais o tamanho e bem menor do q fala mas medidas!!.",Comprei bem maior mas n veio na mesma descrição dos tamanhos.,"Achei muito pequeno. Minha filha tem 9 anos e é miúdinha, comprei o número 12 pra ficar folgado e ficou justinho. Logo nao servirá mais. Se nao fosse isso, seriam 5 estrelas.",47.11,100
1032,Kit 5 Short Feminino Academia Corrida Esporte Revenda Praia,,0,0.0,Canario,Moletinho,Feminino,Primavera/Verão,N/A,N/A,N/A,134.99,3
1033,Body Roupa De Bebê Chevetteiro Desde Pequeno Chevete Tubarão,,0,0.0,Art Prima,N/A,Bebês,Primavera/Verão,N/A,N/A,N/A,36.9,4
1034,Kit 4 Cuecas Boxer Box Sem Costura Algodão Masculino Zorba,4.7,1479,0.43,Zorba,Algodão,Masculino,N/A,"Sensacional comprei dois kits,8 unidades bbb.
Bom. Bonita. Barato.",O produto era tudo o que eu esperava.,"Sao top as coecas só nao gostei.
Q veio 4brancas fora isso boas.",119.89,5000
1035,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,4.8,1429,0.3,Lupo,Microfibra,Masculino,Primavera/Verão,Excelente produto e muito durável. Não sei como vai ser pq este produto dura muito. Comprei novo conjunto depois de quase 3 anos. Então se você quiser esquecer de comprar cueca pelo menos por 3 anos este é o produto ideal.,"Já conhecia esse produto de alta qualidade e preço baixo, tenho uma cueca dessa a 5 anos e ainda vai servir por mais tempo kkk, as cuecas de poliamida da lupo são excelentes, já as de algodão não duram um mês, não comprem as de algodão, comprem essa de poliamida são muito boas e bem duráveis m.","Produto original, estava com medo de comprar e não ser igual ao original porém me surpreendeu a qualidade do produto em breve vou comprar mais cuecas!.",69.99,10000
1036,Faixa De Cabelo Lupo Sport Fitness Yoga Pilates 15010-001,4.9,45,0.0,Lupo,N/A,Feminino,N/A,Cumpre a função que é me deixar feia.,"Achei um pouco grande para a minha cabeça.
Só usei uma vez.","Produto ótimo, lindo e confortável.",41.57,500
1037,Conjunto Infantil Juvenil Futebol Do Corinthians Do 02 Ao 14,3.9,10,0.0,Z1Store,N/A,Sem gênero infantil,N/A,Bom.,"Produto atendeu bem as necessidades.
Símbolo bordado (boa qualidade).
A criança adorou a roupa de ""jogador de futebol"".",N/A,56.92,100
1038,Calça Jeans Masculina Atacado Barato Lançamento,4.0,38,0.0,Rebeldecat,Jeans,Masculino,Outono/Inverno,"Porém, não veio como o modelo da foto, mais eu gostei.",A calça da foto não e a mesma que foi enviada.,"Produto muito bom, porém precisei faze uma devolução na primeira compra, número 42 fico muito apertado, comprei número 44 uma calça ficou perfeita(preta) porém a azul mesmo sendo 44 ainda ficou apertada, mas dá pra usa, ótimo custo benefício.",49.97,100
1039,Kit 2 Bermuda Jeans Lycra Masculina Plus Size 58 Ao 62,,0,0.24,Exposição Paulista,Algodão,Masculino,Primavera/Verão,N/A,N/A,N/A,185.55,5
1040,Bermuda Ciclismo Bike Mauro Ribeiro - P Ao 3g Lançamento,5.0,7,0.23,Mauro Ribeiro Sports,N/A,Masculino,N/A,"Produto excelente, muito confortável, recomendo.",Excelene.,"Super confortável. Para pedais longos ela é ótima, pois o forro/almofada aguenta muito bem.
Além de ser muito bonita!.",214.86,50
1041,Roupa Umbanda Candomble Feminina (saia+pano Cabeça+bata),,0,0.0,FENIX ROUPAS AFRO RELIGIOSAS,N/A,Feminino,N/A,N/A,N/A,N/A,75.0,25
1042,Cueiro Charutinho Com Velcro Ajustável Flamingo,4.8,11,0.0,PIMPOM BABY,N/A,Bebês,N/A,Excelente produto!! tecido muito bom.,Bom e prático apesar de um pouco grande.,Produto de boa qualidade. Gostei que veio com a touca junto. Tecido molinho e velcro especial. Vale a compra.,99.9,100
1043,Short Saia Infantil Menina Blogueirinha Mini Diva Lançamento,4.9,57,0.08,PROPRIA,Couro sintético,Meninas,Primavera/Verão,"Boa tarde vc eram na cor , pedir rosa pink n cor de goiaba prestem mas atenção nos pedidos de cores e tamanhos por favor.",Ficou perfeito! ela vai fazer 5 e estou usando 8. Não ficou largo e não ficou apertado! ficou perfeito todos da parte de baixo.,Uma graça. Igual da foto.,59.1,500
1044,Kit 3 Calça Jeans Plus Size Cintura Alta Com Lycra Skinny,,0,0.13,Stillger,Algodão,Feminino,Outono/Inverno,N/A,N/A,N/A,178.64,4
1045,Kit 7 Calcinha Cós Elegante Cos Alto Conforto Microfibra,3.8,19,0.05,Mallbeck-CALCINHA CONFORTAVEL - CALCINHA TANGA-,Microfibra,Feminino,N/A,O pano não e bom.,Achei muito pequena comprei o tamanho g e não serviu e de cintura alta não tem nada tive que dar as minha pra minha irmã que é bem magra e não te. Barriguinha não compraria novamente e nem recomendo por conta do tamanho o tecido é bom.,Amei amei.,49.12,100
1046,Bermuda Running Woom Light Run Masculino Preto E Azul 2023,,0,0.0,Woom,Poliamida,Masculino,N/A,N/A,N/A,N/A,169.9,1
1047,Roupas Femininas Plus Size Bermuda Maria João Lycra 50 Ao 60,4.6,22,0.0,outras,Jeans,Feminino,Primavera/Verão,Amei!.,Maravilhosa!!! tamanho exato!!! vou comprar mais.,Exelente.,118.9,100
1048,Kit 2 Máscaras Lupo Preta Adulto Unissex Original,5.0,3,0.25,Lupo,N/A,N/A,N/A,"Qualidade top.
Material bom mesmo , me surpreendeu positivamente.
Comprarei novamente 👏.",Muito bom!!! recomendo.,"Muito bom, atendeu as expectativas com sucesso.",19.92,5
1049,Calça Lipo Modeladora Feminina Emagrecedora Acinturada,4.1,11,0.0,Gata Rebelde,Poliéster,Feminino,Outono/Inverno,Maia ou menos boa.,Muito grande. Ficou enorme mesmo. Não gostei do tecido. Acho que não iria cumprir com o prometido. Fiz a devolução. Tudo correto.,Ótima qualidade. Porém tive que levar na costureira pois descosturou inteira.,78.97,50
1050,Kit Roupa De Bebe 6 Peças Body Manga Longa E Mijão Algodão,4.7,399,0.24,Duda Lelê Moda Infantil,N/A,Bebês,Outono/Inverno,"Produto do ótima qualidade, gostei muito. Era pra ter vindo dois body manga longa dois curto mas vieram os 4 longos pra mim foi ótimo meu filho tava precisando.","Pelo preco foram ok, a seleceo das roupas é aleatoria ebtao nao da para esperar uma ou outra estampa. Todas as roupas soltaram tinta na maquina e danificaram os detalhes em branco das outras roupas coloridas.","Amei, muito lindas exatamente como está nas fotos, tecido muito bom acabamento bom também, tamanho excelente, minha bebê tem 1 ano e serviu muito bem o grátis e vai da pra usar bastante ela tem 10 kg e mede 75cm.",89.1,1000
1051,Kit 5 Bermuda Masculinha Moletinho Academia Verão Praia,4.3,6,0.05,Canario,moletinho,Masculino,Primavera/Verão,Ficou perfeito. Se eu pudesse ter voltado no tempo eu teria comprado antes.,"Ótimo tecido costura e acabamento, já testei na academia algumas vezes, e passa bastante confiança na execução das atividades, melhor custo benefício, satisfeito.
Obs. Na execução de treinos de perna o celular no bolso não fica muito legal devido a necessidade dos movimentos, mas para corrida na esteira perfeito.",Eu gostei muito do produto.,156.14,50
1052,Kit 06 Tapa Bumbum Academia Musculação Fitness Sport Com Cós,4.4,20,0.0,ATBQ Moda Fitness Atacado,N/A,Feminino,N/A,Minhas clientes amaram vou comprar mais pra revender.,Ótima compra ! compraria novamente.,"Cumpre a função desejada, porém não é lá grandes coisa, tecido de malha fria e a contura um pouco franzida nas pontas.",79.99,100
1053,Short Duplo Fitness  Plus Size Roupa Para Academia Poliéster,4.9,15,0.0,Menina Felina,Suplex,Feminino,N/A,Eu achei simplesmente perfeito o tamanho é realmente certo amei.,Tecido macio e elástico. Ótimo para treino que precisa de bastante movimentação das pernas.,Eu gostei muito a malha e boa mais o tamanho ficou grande em me eu visto 42 como não tinha o 42 eu comprei o 46.,56.0,100
1054,Calça Roupa Masculina Jeans Jogger Bege Sarja Pronta Entrega,4.0,5,0.17,Tevoro,Sarja,Masculino,Primavera/Verão,"O produto é bom, mas não é como mostrado na imagem. Já havia comprado uma calça no mesmo estilo, mas tecido era melhor e era um pouco mais ajustado. Também não gostei muito do elástico na borda da calça.","O produto não tem a qualidade q eu esperava, a cor do bege é uma cor morta e a qualidade do tecido apesar de até confortável não era boa.",N/A,78.48,5
1055,Kit 3 Bermuda Jeans Feminina Cintura Alta Ciclista Com Lycra,,0,0.0,Stillger,Algodão,Feminino,Primavera/Verão,N/A,N/A,N/A,64.6,2
1056,Body De Bebe Mamãe Noel Roupa De Bebe Tematico Natal,4.7,18,0.0,Laura Chic Baby,N/A,Bebês,Primavera/Verão,Bom produto conforme anunciado.,Ficou lindo🥰.,"Produto perfeito, voltarei a compra.",24.9,100
1057,Kit 2 Conjuntos Segunda Pele Forrada Frio Intenso,4.5,104,0.1,Hot Lee,Poliéster,Sem gênero,Outono/Inverno,"O tecido é fino, achei que não protegeria do frio. Mas usei em um frio de 15⁰ com sensação de 10⁰ e aqueceu bastante. Usei apenas uma corta vento por cima.","Comprei o tamanho m ficou bom ,mas da próxima vez vou comprar um número maior para ficar mais soltinha tenho 1,72 e 67 kg.","O custo benefício é extraordinário! andei de moto num dia que estava 5 graus. Isso de temperatura, agora imagina de moto. A roupa térmica ajudou demais. Claro que sozinha não resolve, mas ela é muito muito leve e faz uma diferença enorme. Vale muito a pena.",219.1,100
1058,Kit 2 Cuecas Box Boxer Lupo Sem Costura Masculina Microfibra,5.0,2,0.0,Lupo,Microfibra,Masculino,Primavera/Verão,Ótima meu marido amou ❤️.,N/A,N/A,55.7,25
1059,5 Shorts Suplex Moda Fitness Feminina Atacado Roupas Academi,4.5,77,0.21,Akorio,Suplex Poliéster,Feminino,Primavera/Verão,"Comprei maior tamanho gg.
Serviu na minha filha de 12 anos. 1,52. 53 quilos.
Lycra ""seca"". Não é macia.
Todos veio bem costurado.
Custo x benefício atende.",Os produtos não são iguais os das fotos além de vim com uma cor fosca ficaram transparente.,"Otimo, boa qualidade, fiel ao tamanho, fui surpreendida positivamente, gostei muito e farei mais compras com vocês.",129.62,500
1060,Roupa Feminina Calça Jogger Listrada Na Lateral Plus Size+56,4.3,3,0.0,Explosão Total,Malha Viscolycra,Feminino,Primavera/Verão,"Tenho 1,60 então a calça não ficou como eu gostaria que é igual a foto, teria que mandar para outra costureira ajustar. Tem um forro que auxilia a não ficar transparente.",N/A,N/A,109.49,50
1061,Kit 3 Pijama Feminino Longo Suede Inverno Frio Tecido Macio,4.7,18,0.1,Donna Babi,Suede,Feminino,Outono/Inverno,Ótimo custo benefício pelo valor.,"Gostei muito do tecido,bem macio e confortável só não gostei das cores,veio dois pijama quase iguais. Poderia ser diferente , mas fora isso muito bom.",Os pijamas venham com cores muito feito comoum deles veio preto pra dormi acho que não é legal e ainda comprei pra presente não dá pra presentear 😢.,145.31,25
1062,Blusa T-shirt Roupa Feminina Frase Longa Historia,,0,0.0,Yasmim,N/A,Feminino,N/A,N/A,N/A,N/A,32.5,1
1063,Kit 3 Roupa Feminina Shorts Jeans Cintura Alta,5.0,6,0.0,Mr Jeans,Jean,Feminino,Primavera/Verão,Show de bola muito boa qualidade.,"Adorei,já é a terceira vez que eu compro esses shorts. São ótimos,amei.",N/A,138.9,25
1064,Cabide Infantil Preto ( 100 Unidades ),4.5,15,0.11,Amiplast,N/A,Bebês,N/A,Produto excelente! atendeu a todas as necessidades.,Recomendo custo benéfico.,"Produto de ótima qualidade , me surpreendeu !!!.",67.43,100
1065,Calça Legging Academia Confortável Com Dois Bolsos,4.8,16,0.0,Cor de Amora,Suplex,Feminino,Outono/Inverno,"Otima qualidade,.",Amei linda excelente perfeita.,"Gostei do estilo com bolso lateral ótimo pra carregar celular documentos, porém é muito transparente.",44.9,100
1066,4 Saco Para Roupa Suja Em Tnt - 50x70 - Fechamento Cordão,,0,0.15,URUKA,N/A,Sem gênero,N/A,N/A,N/A,N/A,43.5,25
1067,Kit 3 Bermuda Moletom Academia Ginastica Leve Estampado Top,4.5,8,0.0,Canario,Poliéster,Masculino,N/A,Gostei muito! satisfeita.,"Então comprei g já para não ter problema, mais veio do tamanho de uma m. Então não serviu mais o moletom não era tão ruim pelo preço presenteei para outra pessoa tem que comprar gg pra quem usa g.",Excelente produto veste muito bem e as costuras bem reforçadas ótimo para academia e para o dia dia.,104.99,50
1068,Camisola Sexy + Robe Sensual Acompanha Calcinhas De Brinde!!,4.7,42,0.0,Sedução da Noite,helanca e elastano,N/A,Primavera/Verão,"Simplesmente perfeita , super confortável.","Amei é lindo e de ótima qualidade, ficou top.",As peças são maravilhosas !! tecido delicioso. Ameeei !.,65.0,100
1069,"Cueca Boxer Box Masculinas Tamanho Especial Xg, Xxg E Xxxg",4.6,42,0.0,Lupo,Algodão,Masculino,Primavera-verão Outono-inverno,Produto superou as espectativas.,Boa qualidade.,Ótimo.,29.79,500
1070,Conjunto Uniforme Com Sua Logo Personalizada Estampa Marca,,0,0.0,Inoffensive,N/A,Masculino,N/A,N/A,N/A,N/A,159.75,1
1071,Kit 10 Peças Roupa Infantil Menino 5 Shorts + 5 Camisetas,3.2,5,0.1,Imperio Kids,Algodão,Meninos,Primavera/Verão,Pelo preço bom.,Não é ruim razoável se todos fosse tectel séria perfeito!!!.,"Achei menor do que o número fala, e vieram sem etiquetas , por isso não pude confirmar se o tamanha que pedi era realmente o tamanho.",155.31,25
1072,Calça Levis Jeans 511 Slim Masculino Cintura Media Elastano,4.6,8,0.0,Levi's,Algodão/Elastano,Masculino,Primavera/Verão,Parece até produto pirata. Preço de tradicional qualidade brás.,N/A,N/A,299.0,50
1073,Kit Calcinha Treinamento Desfralde Ecokids Balões 2 Unds,,0,0.0,EcoKids Place,N/A,Bebês,N/A,N/A,N/A,N/A,129.9,5
1074,Short Jeans Cintura Alta Feminino Desfiado Roupas Femininas,,0,0.0,O Rei do Brás,Algodão,Feminino,Primavera/Verão,N/A,N/A,N/A,69.9,5
1075,Kit 2 Conjuntos Uniforme Legging Faxineira Empregada Babá,4.7,18,0.0,EBT Uniformes,Oxford Algodão Suplex,Feminino,N/A,"O produto descosturou todo no avental em apenas dois dias de uso. O tecido do avental não é de boa qualidade. Quando fui costurar a parte que descosturou, vi que o tecido abre todo.",Excelente produto.,"A calça é de qualidade bem ruim, tecido transparente, não serve para trabalhar, pois em qualquer movimento fica translúcida revelando partes íntimas e lingerie. Estou bastante insatisfeita, as funcionárias reclamaram de desconforto para realizar as atividades funcionais.",249.0,100
1076,Calça Levis Jeans 511 Slim Masculino Cintura Media Elastano,4.4,60,0.0,Levi's,Algodão/Elastano,Masculino,Primavera/Verão,"Não gostei do acabamento da peça. Agumas costuras eatvam soltanto linha e também achei o tecido muito fino. Tenho outra calça do mesmo modelo 511 que comprei na loja e é muito diferente. A da loja o tecido é bem mais grosso, as costuras bem acabadas e a etiqueta é couro.","Uso levis 511 há anos, sempre no mesmo tamanho 34x34, essa veio totalmente fora de padrão, perna cumprida e larga. Tecido fino costura sobreposta, enfim. Como já tinha removido as etiquetas o lojista não aceitou a devolução. Vai pra costureira tentar salvar a calça. Nunca mais.",Não é original.,309.0,500
1077,Kit 6 Cuecas Zorba Boxer Algodão Cotton Box Masculina - Nf,4.8,5,0.0,Zorba,Algodão,Masculino,Primavera-verão Outono-inverno,Recomendo ao ml.,N/A,N/A,134.99,25
1078,Kit 5 Bermuda De Moletom Masculina Treino Short Academia,3.9,8,0.0,Gata Rebelde,Algodão,Masculino,Primavera/Verão,Muito bom.,Mediana. Uma veio menor e outra sem bolso traseiro! não recomendo!.,"Comprei no tamanho p. , mais parece gg aff.",119.97,50
1079,Saida De Maternidade Menina 5 Peças Charmosa Vermelha,4.7,2979,0.08,Maribaby enxovais,N/A,Bebês,N/A,"Simplesmente lindo! perfeito no acabamento e nos detalhes. É exatamente igual ao da foto, com a estampa exatamente fiel. Li um comentário onde a pessoa reclamava da textura da manta ser inapropriada a um bebê. Não procede, é um tecido de qualidade e com a goma própria de novo, após uma lavagem e com cheirinho de bebê vai ficar perfeito. Amei a qualidade, o designer e o acabamento de todas as peças. Recomendo!.","A roupa e linda gostei bastante, so nao darei 5 estrela porq o produto veio com algumas das custuras que nao estao perfeitos, a manta veio com um rasgo mais levarei na costureira para arrumar, e tambem na parte que encaixa no pe da crianca veio com um rasgo pois da pra arrumar!!! espero que vcs antes da entega verifica o produto se nao estiver rasgado para agenti ficar mais feliz com a compra!! obrigado.","O tamanho é bom,vai dar pra usar um tempo mas oq me decepcionou foi a cor, nas fotos a cor é linda,viva e pessoalmente é uma cor bem apagada, um salmão desbotado e sem graça então vou ter q usar só para ficar em casa e vou ter q comprar outra saída maternidade. Isso sem contar q a manta é extremamente fina para um recém nascido, poderiam melhorar isso.",88.78,10000
1080,Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507,0.09,Menina Linda,Jean,Feminino,Primavera/Verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",129.2,1000
1081,Kit 8 Peças De Roupa Infantil Masculino 4 Camisas + 4 Shorts,4.4,388,0.1,Imperio Kids,N/A,Bebês,N/A,Ótima roupas.,"Os tecidos são de excelente qualidade, recomendo.",Ficou perfeito peguei tamanho 3 meu filho tem 2 anos.,112.82,1000
1082,Romper Barbie Bebê Princesa Com Lacinho Mesversário Roupa,4.8,69,0.0,Atelie Mundo Daju,N/A,Bebês,Primavera/Verão,N/A,"Perfeito.
Minha bebê tem 7. 500kg e 67cm e o tam m serviu certinho.
Estou muito satisfeita com a compra.",Perfeito amei. Super recomendo.,54.9,100
1083,Creme Hidratante De Couro P/ Calçados Roupas Envio Imediato,,0,0.0,Novax,N/A,Sem gênero,N/A,N/A,N/A,N/A,32.9,2
1084,Skinny Jeans Cintura Alta Feminina Plus Size Empina Bumbum,4.5,4,0.0,Variados Moda Feminina,Jeans,Feminino,Primavera/Verão,Vou comprar de novo amei.,Perfeita amei.,N/A,78.22,5
1085,Shorts Feminino Jeans Cinto Hot Pant Roupas Femininas Lindas,3.7,6,0.0,lifs modas,Jean,Feminino,Primavera/Verão,"Ameiii veio do jeito que eu queria e igual a da foto e mais amoo essa marca de short ""mais estilosas"".","Não gostei pois é diferente da foto, a barra (bainha) não veio dobrada como na foto, entao ela veio solta e acabou ficando mais comprida diferente do proposto. Sobra muito tecido no baixo ventre dando a impressão de ter um abdômen mais volumoso. O tecido bem fino não fazia ideia de que seria assim, não curti.",Shorts igual da foto é lindo amei.,55.0,100
1086,Cinturão Agachamento Cinto Musculação Crossfit Hocken Handal,4.5,110,0.6,HANDAL,N/A,Sem gênero,N/A,Excelente produto. Recomendo.,"Quando ajustado a cinta se afina. Na primeira foto, como o produto deveria ficar. Porém quando colocado ao corpo ele fica como na segunda foto. Horrível.","Confortável e ajusta bem a lombar, usei a semana toda. Ótimo custo benefício. Recomendo.",99.6,500
1087,Kit Com 10 Cuecas Boxer Masculina Polo London Club - Oferta,4.1,35,0.38,Polo London Club,Algodão,Masculino,Primavera/Verão,"Produto médio, recomendo.",Muito bom.,Eu gostei.,179.9,100
1088,Kit 2 Calças Jeans Masculina Com Lycra.,4.6,2146,0.05,Almix,Jean,Masculino,Primavera/Verão,"Obs: eu não suporto calças apertadas , e nem muito largas.
Numeração ( 42 ). Ficou ótima em mim.
Tenho 1. 80 de altura e uns 75kg.
Na cintura e nas coxas, ficou muito boa , ou seja.
- não ficou apertado e nem muito largo. ( ficou legal ).
Do joelho para baixo , ficaram retas ou seja, não tem modelagem , más, tbem não ficou feio , pois não ficou larga.
- elas ficam alinhado com o corpo , porém, não apertado.
Então ela é uma boa escolha para compra.
Porém , só um alerta !.
* ela é fina , tecido leve.
* comprimento é super grande.
Resumindo.
De 1 á 10 , ela valeu uns ( 8 ).","Gostei, as calças vestem bem, são confortáveis e o tecido tem qualidade. Por ter gostado resolvi comprar outro kit com três calças. Nesse kit tenho um reparo a fazer: a numeração que pedi foi 40 e a calça azul clara, apesar de ter na etiqueta a numeração 40, tinha o tamanho correspondente a 42 ou 44. Ficará grande e terei que mandar ajustar. O controle de qualidade poderia ser melhor efetuado nesses casos. No mais nada a reclamar.","Recomendo ótimo jeans tenho 1. 80 altura e 97 kg a número 48 ficou ótimo se eu quiser vou fazer é só o abanhado mas não fiz dobrei por dentro nem se percebe , não ficou colada no corpo que pra mim é ótimo.
Comprarei novamente em breve.
Que deus abençoe a todos.",134.3,10000
1089,Kit 3 Calças Jogger Masculina Jeans Com Punho Elastico,4.3,779,0.09,gbgsports,Sarja,Masculino,Outono/Inverno,"Calças com material inferior. Não vieram do mesmo tamanho. Pedi tamanho m/42 parece ser p e a que ficou boa parece ser g. Essas medidas não são confiáveis. O elástico do calcanhar de uma delas está frouxo. Tive preguiça de devolver. Esse deslocamento de ir até os correios me desanima. Comprei mais duas em outra loja. Vieram perfeitas. As daqui consegui vender pra compensar. Quem não liga pra esses detalhes pode comprar, fora isso não aconseho.","O produto veio com manchas e com mal cheiro e a qualidade do pano e horrível, não recomendo efetuarem uma compra nessa loja nem responder o chat que mandei falando das avarias do produto responderam totalmente sem suporte.","Comprei o kit que são três, porém são todas as três com a mesma numeração ,mas três tamanhos diferentes ,duas dá pra eu usar ,uma está perdida pelo tamanho, não compraria novamente, assim como de outros que atenderam minhas espectativas voltei à comprar novamente , tanto pra mim quanto aos meus próximos ,a qualidade atende ao que é descrito,.",182.34,1000
1090,2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,4.9,52,0.34,Lupo,N/A,N/A,N/A,Adorei.,Ótima.,"Muito bom produto, confortavel e bem leve !!!!.",39.39,1000
1091,Saia Calça Roupa Bebê 100% Algodão Varias Tamanhos Preto,4.3,7,0.15,Betty & Loren,N/A,Bebês,N/A,Linda o tecido muito bom e fica uma gracinha no corpo.,"Grande d++. Tecido não muito bom, desbota bem rápido.","Achei ótimo o produto,e o preço muito bom.",35.17,100
1092,Short Zíper No Bolso Esportivo Wr Resistente À Água Parolli,,0,0.0,PAROLLI,Poliéster,Masculino,Primavera/Verão,N/A,N/A,N/A,55.99,5
1093,Roupas Grandes Capri Feminina Plus Size Com Lycra 46 Ao 56,5.0,11,0.0,outras,Jeans,Feminino,Primavera/Verão,Simplesmente amei.,Ficou perfeita no corpo pedi um número a mais do que costumo usar e ficou perfeito.,"Eu amei, compraria de novo, super indico.",119.9,100
1094,Conjunto Uniforme Roupa Eletricista Nr10 Refletivo/antichama,4.8,6,0.0,Scudo,N/A,Sem gênero,N/A,N/A,Faltou um bolso traseiro.,N/A,397.89,25
1095,Conjunto Short Saia Evasê + Blusa Roupa Fitness Evangélica,4.7,114,0.14,ABS FITNESS,Sulpex/Poliamida/Dryfit,Feminino,N/A,Muito bom. Gostei. Tam certinho.,Recomendo.,"Perfeito tamanho correto tenho 1,58 peso 54 kl ,comprei o p.
Tecido bom não é grosso nem fininho.
A cor igual do anúncio, podem comprar.",149.97,500
1096,Short Jeans Feminino Cintura Alta Sem Lycra Shorts Destroyed,,0,0.1,Stillger,Algodão,Feminino,Primavera/Verão,N/A,N/A,N/A,49.91,4
1097,Kit Conjunto Infantil Do Barcelona Da Cruz Do 06 Ao 14,,0,0.0,NL modas,N/A,Masculino,N/A,N/A,N/A,N/A,79.9,5
1098,Calça Pantalona Wide Leg Duna Moda Tendência Verão Feminina,4.4,62,0.0,Pantalona,Duna; Flare Bolsos Cós Largo Duna; Calça Wide Leg,Feminino,Primavera/Verão,"Gostei bastante.
Tem um caimento bom.
E um pano q não amassa fácil.","Comprei tamanho g, por vestir 44. Ficou grande no comprimento por ser pequininha. Mas a costureira fez a barra e tudo certo. Uma foto vale mais que mil palavras.","Adorei a calça, é muito bonita. O tamanho veio adequado, tecido bom, igual ao descrito na propaganda.",68.9,100
1099,Calcinha Tapa Fralda Em Algodão Lisa Kit Com 3 Peças Bebê,,0,0.0,MM Mary Baby,N/A,Bebês,N/A,N/A,N/A,N/A,34.9,50
1100,Bermuda Térmica Adams Ii - Masculina,,0,0.0,Adams,Elastano,Masculino,Outono/Inverno,N/A,N/A,N/A,36.99,5
1101,Roupa Térmica Conjunto Peluciado Infantil Criança+meia+luva,4.8,67,0.05,Zero Grau,N/A,N/A,N/A,Amei o produto é excelente. Qualidade ótima. Meu filho ficou muito confortável e realmente não sentiu muito frio.,"Produto muito bom. A meia veio grande demais para uma criança, mas é de excelente qualidade. Tamanhos bons.","Produto de excelente qualidade material bem grosso.
Porém a blusa e forma bem grande e a calça deveria ser com as pernas mais longas.",78.3,500
1102,Conjunto Blusa Meia Malha E Capri Cotton Fakini- Tam 12 E 14,,0,0.0,Fakini,N/A,Meninas,N/A,N/A,N/A,N/A,56.76,1
1103,Calça Segunda Pele Térmica Masculina Frio Intenso 250g,5.0,4,0.0,Roupas Térmicas,Micro poléster com elastano,Masculino,Outono/Inverno,Excelente superou minha expectativa.,N/A,N/A,76.87,50
1104,Bermuda De Moletom Masculina Oxer Recortada Com Bolso,,0,0.0,Oxer,Algodão,Masculino,Outono/Inverno,N/A,N/A,N/A,61.99,2
1105,Adulto - Escultura 3d Mão De Um Adulto,,0,0.0,Eternize,N/A,Bebês,N/A,N/A,N/A,N/A,109.7,25
1106,Kit De Ballet Juvenil Completa 7 Itens,,0,0.0,Gran Ballet,N/A,Feminino,N/A,N/A,N/A,N/A,174.91,5
1107,Roupa Chef De Cozinha Dolmã Feminina Manga Curta Oxford,4.5,51,0.06,M L Freitas Confecções,Poliéster,N/A,N/A,Eu amei! quero de outras cores.,Ótimo produto amei!!!.,"É linda tecido muito bom, comprei g pra mim ficaria confortável pois uso m , mas o g ficou pequeno não serviu, triste.",64.9,100
1108,5 Bermudas Fitness Feminina Tapa Bumbum Roupas Academia B05,4.5,6,0.11,Própria,Poliéster,Feminino,Primavera/Verão,"Ótimo produto malha muito boa.
Recomendo e vou comprar mais comprei a g de deu certinho.",Produto de ótima qualidade recomendado.,Pra um gg ficou bem apertado e transparente mas ok.,149.41,25
1109,Kit 3 Calça Jogger Ribana Feminina Para Academia Moda Fit,3.8,165,0.05,EMS TEXTIL,"Algodão, calca moletom",Feminino,Outono/Inverno,"O tecido é de qualidade não encolhe depois da lavagem,só achei a forma pequena uso g e pedi gg para ficar folgada mas não ficou.","O produto nao é de moleton, as cores sao nao possivel de escolher e de 3 calcas um delas apesar da etiqueta esta do tamanho solicitado, ela é claramente menor do que o indicado na etiqueta. O cordao tb é curto e facilmente se perde dentro da peça.",Se não fosse o fato de não poder escolher as cores eu diria que produto x preço talvez seja uma das melhores experiências de compra. Uma delas já lavei coloquei na secadora - ficou igual.,133.62,1000
